episode,episode_action_type,episode_return,average_episode_return_noise_actions,average_episode_return_actor_actions,episode_grasp_success,#timesteps,#episodes,duration_episode,average_episode_duration
7495,simple,0.12242501188420556,nan,nan,False,15,15001,10.401,9.808698795
7496,simple,1.1234605527432346,nan,nan,True,15,15001,10.392,9.815642857
7497,simple,0.12228263558928507,nan,nan,False,15,15001,9.565,9.812694117
7498,simple,1.124399254559391,nan,nan,True,15,15001,9.562,9.809779069
7499,simple,0.12440797429810013,nan,nan,False,15,15001,9.372,9.804747126
7500,simple,1.1259664224733215,nan,nan,True,15,15001,10.495,9.812590909
7501,simple,0.1244305527826472,nan,nan,False,15,15001,9.233,9.806078651
7502,simple,1.12304403995002,nan,nan,True,15,15001,10.461,9.813355555
7503,simple,1.121671569762953,nan,nan,True,15,15001,9.636,9.811406593
7504,simple,0.12149197523024304,nan,nan,False,15,15001,9.296,9.805804347
7505,simple,1.1386343484274897,nan,nan,True,16,15001,11.297,9.821838709
7506,simple,1.1383277116415187,nan,nan,True,16,15001,11.131,9.835765957
7507,simple,1.1367127472425897,nan,nan,True,16,15001,10.164,9.839221052
7508,simple,0.12264471580591313,nan,nan,False,15,15001,9.398,9.834624999999999
7509,simple,0.12197427201479166,nan,nan,False,15,15001,10.498,9.841463917
7510,simple,0.12343583478361043,nan,nan,False,15,15001,9.432,9.837285714
7511,simple,0.12116713457362797,nan,nan,False,15,15001,9.667,9.835565656
7512,simple,0.121613388828517,nan,nan,False,15,15001,10.895,9.846159999
7513,simple,1.1210409195690434,nan,nan,True,15,15001,10.464,9.852277227
7514,simple,1.1255510883511544,nan,nan,True,15,15001,9.564,9.84945098
7515,simple,0.12229310826993893,nan,nan,False,15,15001,9.631,9.847330097
7516,simple,1.1219042147324532,nan,nan,True,15,15001,10.498,9.853586538
7517,simple,0.1213889451865857,nan,nan,False,15,15001,9.464,9.84987619
7518,simple,1.1213976347941714,nan,nan,True,15,15001,10.563,9.856603773
7519,simple,0.12266616916706938,nan,nan,False,15,15001,9.366,9.852018691
7520,simple,1.1209457491319714,nan,nan,True,15,15001,10.428,9.857351851
7521,simple,1.1246120499923893,nan,nan,True,15,15001,9.53,9.854348623
7522,simple,0.12059044356089008,nan,nan,False,15,15001,9.302,9.849327272
7523,simple,1.123379424575514,nan,nan,True,15,15001,10.428,9.85454054
7524,simple,0.12287454583526217,nan,nan,False,15,15001,9.53,9.851642857
7525,simple,1.1210139777759154,nan,nan,True,15,15001,9.465,9.848221238
7526,simple,0.12184489077207819,nan,nan,False,15,15001,9.565,9.845736842
7527,simple,1.1209180474267306,nan,nan,True,15,15001,10.764,9.853721739000001
7528,simple,0.12330590333491621,nan,nan,False,15,15001,9.135,9.847525862
7529,simple,1.1365605712443843,nan,nan,True,16,15001,11.159,9.858735042
7530,simple,1.137482181322465,nan,nan,True,16,15001,10.068,9.860508474
7531,simple,0.1219775192348459,nan,nan,False,15,15001,9.634,9.858605042
7532,simple,1.121152994744742,nan,nan,True,15,15001,10.43,9.863366666
7533,simple,0.1238598859161114,nan,nan,False,15,15001,9.496,9.860330578
7534,simple,1.1230878799743365,nan,nan,True,15,15001,10.463,9.865270491
7535,simple,0.13715429743504473,nan,nan,False,16,15001,9.966,9.86608943
7536,simple,1.1246123435106268,nan,nan,True,15,15001,10.264,9.869298387
7537,simple,1.1367253558809889,nan,nan,True,16,15001,9.998,9.870327999
7538,simple,0.13738211174746878,nan,nan,False,16,15001,9.931000000000001,9.870809523
7539,simple,1.1253319377321271,nan,nan,True,15,15001,10.63,9.876787401
7540,simple,0.123043300552757,nan,nan,False,15,15001,9.53,9.874078125
7541,simple,1.1238620995808641,nan,nan,True,15,15001,9.499,9.871170542
7542,simple,0.12211770082048176,nan,nan,False,15,15001,9.199,9.865999999
7543,simple,1.1208826679396362,nan,nan,True,15,15001,9.663,9.864450381
7544,simple,1.136568689390667,nan,nan,True,16,15001,10.166,9.866734848
7545,simple,1.122448602473194,nan,nan,True,15,15001,9.297,9.862451127
7546,simple,0.12281230725999881,nan,nan,False,15,15001,9.365,9.858738805
7547,simple,1.1367069087153945,nan,nan,True,16,15001,11.197,9.868651851
7548,simple,0.12275028475543845,nan,nan,False,15,15001,9.298,9.864455882
7549,simple,0.12494492570994468,nan,nan,False,15,15001,10.264,9.867372262
7550,simple,0.1239632660525061,nan,nan,False,15,15001,10.365,9.87097826
7551,simple,0.12083187769857956,nan,nan,False,15,15001,10.331,9.874287769
7552,simple,1.1217199908505824,nan,nan,True,15,15001,10.698,9.880171428
7553,simple,0.12276793528829504,nan,nan,False,15,15001,9.396,9.876737588
7554,simple,1.1250944106287337,nan,nan,True,15,15001,10.268,9.879492957
7555,simple,0.12071041791162797,nan,nan,False,15,15001,9.766,9.8786993
7556,simple,1.1237557594072947,nan,nan,True,15,15001,10.461,9.882743055
7557,simple,1.1233886413813658,nan,nan,True,15,15001,9.394,9.879372413
7558,simple,1.1361343469691698,nan,nan,True,16,15001,10.096,9.880856164
7559,simple,0.13829166965440112,nan,nan,False,16,15001,9.901,9.880993197
7560,simple,1.1218119751131768,nan,nan,True,15,15001,10.398,9.884486486
7561,simple,1.1226532341204574,nan,nan,True,15,15001,9.365,9.881
7562,simple,0.13739919370297313,nan,nan,False,16,15001,9.897,9.881106666
7563,simple,0.12321653926890254,nan,nan,False,15,15001,10.298,9.883867549
7564,simple,0.12479371068255128,nan,nan,False,15,15001,10.364,9.887026315
7565,simple,0.12256402837904487,nan,nan,False,15,15001,10.329,9.889915032
7566,simple,1.1226789595000513,nan,nan,True,15,15001,10.368,9.89301948
7567,simple,1.122175220258156,nan,nan,True,15,15001,9.461,9.890232258
7568,simple,0.12179094868323675,nan,nan,False,15,15001,9.431,9.887288461
7569,simple,1.1228968255320846,nan,nan,True,15,15001,10.433,9.890764331
7570,simple,0.12463975210147415,nan,nan,False,15,15001,9.295,9.88699367
7571,simple,1.1259684666316463,nan,nan,True,15,15001,10.497,9.890830188
7572,simple,0.11995211302303065,nan,nan,False,15,15001,9.364,9.8875375
7573,simple,1.1215545963612072,nan,nan,True,15,15001,10.468,9.891142857
7574,simple,0.12188382284091875,nan,nan,False,15,15001,9.428,9.88828395
7575,simple,0.12425362629140532,nan,nan,False,15,15001,9.563,9.886288343
7576,simple,1.1218974945658242,nan,nan,True,15,15001,10.298,9.88879878
7577,simple,0.12062897477864913,nan,nan,False,15,15001,9.496,9.886418181
7578,simple,0.13612076741994011,nan,nan,False,16,15001,9.835,9.886108433
7579,simple,0.12202329545235757,nan,nan,False,15,15001,10.36,9.888946107
7580,simple,1.1217927936428724,nan,nan,True,15,15001,10.668,9.893583333
7581,simple,0.12185690724878498,nan,nan,False,15,15001,9.428,9.890828402
7582,simple,0.1362390288892964,nan,nan,False,16,15001,11.231,9.898711764
7583,simple,0.12117403269653261,nan,nan,False,15,15001,10.338,9.901280701
7584,simple,0.12085573377301279,nan,nan,False,15,15001,10.857,9.906837209
7585,simple,1.1244201003270526,nan,nan,True,15,15001,10.196,9.90850867
7586,simple,1.121318205075022,nan,nan,True,15,15001,9.666,9.907114942
7587,simple,1.1231326414831204,nan,nan,True,15,15001,9.366,9.904022857
7588,simple,0.12091457919266299,nan,nan,False,15,15001,9.666,9.902670454
7589,simple,0.12139347139132008,nan,nan,False,15,15001,9.761,9.901870056
7590,simple,0.12121055019907902,nan,nan,False,15,15001,9.364,9.898848314
7591,simple,0.11982692386437148,nan,nan,False,15,15001,9.33,9.895670391
7592,simple,0.1224570391757332,nan,nan,False,15,15001,9.435,9.893111111
7593,simple,1.1234563095690693,nan,nan,True,15,15001,10.327,9.895508287
7594,simple,0.12059338361358979,nan,nan,False,15,15001,9.602,9.893895604
7595,simple,1.123770339048738,nan,nan,True,15,15001,10.425,9.896797814
7596,simple,0.12272505153490443,nan,nan,False,15,15001,9.331,9.893722826
7597,simple,0.12348397368764721,nan,nan,False,15,15001,10.297,9.895902702
7598,simple,1.1221210423390335,nan,nan,True,15,15001,10.367,9.898435483
7599,simple,0.12178254458747405,nan,nan,False,15,15001,9.493,9.896267379
7600,simple,0.12069365628965076,nan,nan,False,15,15001,10.431,9.899111702
7601,simple,0.13587656711044632,nan,nan,False,16,15001,9.93,9.899275132
7602,simple,0.12407284945775623,nan,nan,False,15,15001,10.398,9.9019
7603,simple,1.122400933902814,nan,nan,True,15,15001,10.397,9.904492146
7604,simple,1.1367764018843018,nan,nan,True,16,15001,10.198,9.906020833
7605,simple,0.12056452049376125,nan,nan,False,15,15001,9.498,9.903906735
7606,simple,1.1224582430732835,nan,nan,True,15,15001,9.363,9.901118556
7607,simple,1.1220558275403918,nan,nan,True,15,15001,9.398,9.898538461
7608,simple,1.121609287637168,nan,nan,True,15,15001,9.434,9.896168367
7609,simple,1.1207352268003639,nan,nan,True,15,15001,9.66,9.894969543
7610,simple,1.1218712085694853,nan,nan,True,15,15001,9.464,9.892792929
7611,simple,0.12280122744526509,nan,nan,False,15,15001,9.296,9.889793969
7612,simple,1.1221986323750475,nan,nan,True,15,15001,9.698,9.888835
7613,simple,1.1377763430308399,nan,nan,True,16,15001,10.197,9.890368159
7614,simple,0.12361381097016119,nan,nan,False,15,15001,9.364,9.887762376
7615,simple,1.1216635954570222,nan,nan,True,15,15001,9.43,9.885507389
7616,simple,0.12196100741474247,nan,nan,False,15,15001,9.465,9.883446078
7617,simple,0.13642378551885787,nan,nan,False,16,15001,10.768,9.887760974999999
7618,simple,0.12381460094521195,nan,nan,False,15,15001,9.459,9.885679611
7619,simple,1.1247114450379743,nan,nan,True,15,15001,9.3,9.882850241
7620,simple,0.12253684920657827,nan,nan,False,15,15001,9.295,9.880024038
7621,simple,0.12460488549392659,nan,nan,False,15,15001,10.467,9.882832535
7622,simple,1.1380250923242066,nan,nan,True,16,15001,10.13,9.884009523
7623,simple,1.1222151736733694,nan,nan,True,15,15001,9.37,9.881573459
7624,simple,1.1205471565072702,nan,nan,True,15,15001,9.491,9.879731132
7625,simple,1.1236515997511525,nan,nan,True,15,15001,9.397,9.877464788
7626,simple,0.13634972851736832,nan,nan,False,16,15001,10.031,9.878182242
7627,simple,1.136543772515418,nan,nan,True,16,15001,11.033,9.883553488
7628,simple,0.12428680866603924,nan,nan,False,15,15001,9.33,9.88099074
7629,simple,0.12175880994705708,nan,nan,False,15,15001,9.697,9.880142857
7630,simple,0.13650029859317078,nan,nan,False,16,15001,9.865,9.880073394
7631,simple,0.13659532909341565,nan,nan,False,16,15001,10.967,9.885036529
7632,simple,0.12205400816213346,nan,nan,False,15,15001,9.366,9.882677272
7633,simple,1.137532388303006,nan,nan,True,16,15001,11.091,9.888144796
7634,simple,0.12199056300046726,nan,nan,False,15,15001,9.53,9.886531531
7635,simple,0.1212515662588894,nan,nan,False,15,15001,10.632,9.889874439
7636,simple,1.1236929558755449,nan,nan,True,15,15001,10.433,9.892299107
7637,simple,0.12036224221930047,nan,nan,False,15,15001,9.795,9.891866666
7638,simple,1.120395725789673,nan,nan,True,15,15001,10.598,9.89499115
7639,simple,1.1233966102618973,nan,nan,True,15,15001,9.565,9.893537444
7640,simple,1.1249384727370506,nan,nan,True,15,15001,9.53,9.891942982
7641,simple,1.1373320659675032,nan,nan,True,16,15001,10.13,9.892982532
7642,simple,0.12266143888345557,nan,nan,False,15,15001,9.732,9.892282608
7643,simple,1.1205792486848296,nan,nan,True,15,15001,10.464,9.894757575
7644,simple,1.1237180752804572,nan,nan,True,15,15001,9.398,9.892616379
7645,simple,0.12275369027441176,nan,nan,False,15,15001,9.231,9.889776824
7646,simple,0.13702671596144178,nan,nan,False,16,15001,10.164,9.890948717
7647,simple,0.12019012778039052,nan,nan,False,15,15001,9.231,9.888140425
7648,simple,0.13607158072154585,nan,nan,False,16,15001,9.963,9.888457627
7649,simple,1.122957180454048,nan,nan,True,15,15001,10.33,9.890320675
7650,simple,0.12057783702598329,nan,nan,False,15,15001,9.43,9.888386554
7651,simple,0.1372542305578317,nan,nan,False,16,15001,10.064,9.889121338
7652,simple,1.1216753116456641,nan,nan,True,15,15001,9.431,9.8872125
7653,simple,1.1222180014710021,nan,nan,True,15,15001,9.397,9.885178423
