episode,episode_action_type,episode_return,average_episode_return_noise_actions,average_episode_return_actor_actions,episode_grasp_success,#timesteps,#episodes,duration_episode,average_episode_duration
7413,actor,0.15824878422229705,nan,0.15824878422229705,False,19,15001,16.346,16.346
7414,actor,0.14550317504487428,nan,0.15187597963358568,False,18,15001,12.065,14.2055
7415,actor,0.14212914590020378,nan,0.1486270350557917,False,18,15001,12.527,13.646
7416,actor,0.14379452730447648,nan,0.1474189081179629,False,18,15001,12.331,13.317249999
7417,actor,0.14454177241623725,nan,0.14684348097761776,False,18,15001,12.4,13.133799999
7418,actor,0.1454895085029534,nan,0.14661781889850703,False,18,15001,12.201,12.978333333
7419,actor,0.1455913717928478,nan,0.1464711835976986,False,18,15001,12.455,12.903571428
7420,actor,0.14509284127487598,nan,0.14629889080734576,False,18,15001,12.264,12.823624999
7421,actor,0.14355090598880219,nan,0.14599355916084092,False,18,15001,12.331,12.768888888
7422,actor,0.14402475536247766,nan,0.1457966787810046,False,18,15001,12.236,12.7156
7423,actor,1.1438357051784487,nan,0.23652749936259043,True,18,15001,12.194,12.668181818
7424,actor,0.14532715716901967,nan,0.2289274708464595,False,18,15001,11.564,12.576166666
7425,actor,0.14396466059468438,nan,0.22239187005786143,False,18,15001,12.566,12.575384615
7426,actor,0.14448899760864237,nan,0.21682737916863148,False,18,15001,11.198,12.477
7427,actor,1.1455945891347605,nan,0.2787451931663734,True,18,15001,12.265,12.462866666
7428,actor,0.14576506955733048,nan,0.27043393544080824,False,18,15001,11.332,12.3921875
7429,actor,0.14416142147703853,nan,0.26300614050176296,False,18,15001,12.266,12.384764705
7430,actor,0.142542823629228,nan,0.25631373400884433,False,18,15001,12.098,12.368833333
7431,actor,0.1421839160343558,nan,0.25030690148387125,False,18,15001,11.301,12.312631578
7432,actor,0.15909593836773508,nan,0.24574635332806447,False,19,15001,12.161,12.305049999
7433,actor,0.14469770663551784,nan,0.24093451300937177,False,18,15001,11.437,12.263714285
7434,actor,0.1477106171981341,nan,0.23669706319977007,False,18,15001,12.228,12.262090909
7435,actor,0.1456905943665511,nan,0.2327402602070214,False,18,15001,12.03,12.251999999
7436,actor,0.14420837264760064,nan,0.22905143155871222,False,18,15001,12.264,12.252499999
7437,actor,0.14754239302721647,nan,0.22579107001745238,False,18,15001,12.398,12.25832
7438,actor,0.146426722472111,nan,0.22273859511186236,False,18,15001,12.098,12.252153846
7439,actor,0.14510633928042338,nan,0.2198633263773646,False,18,15001,12.499,12.261296296
